id	gene
WP_010244148.1	FeFeA1
WP_006566021.1	FeFeA1
WP_026649549.1	FeFeA1
WP_016148395.1	FeFeA1
WP_010963357.1	FeFeA1
WP_026883172.1	FeFeA1
WP_010234442.1	FeFeA1
WP_010241437.1	FeFeA1
WP_026887313.1	FeFeA1
WP_026888587.1	FeFeA1
WP_024933644.1	FeFeA1
WP_002583070.1	FeFeA1
WP_027639457.1	FeFeA1
WP_027639472.1	FeFeA1
WP_010074109.1	FeFeA1
WP_021876669.1	FeFeA1
WP_002597295.1	FeFeA1
WP_002599108.1	FeFeA1
WP_002599284.1	FeFeA1
WP_027631367.1	FeFeA1
WP_021800870.1	FeFeA1
WP_021801498.1	FeFeA1
WP_011722328.1	FeFeA1
WP_027098630.1	FeFeA1
WP_004455619.1	FeFeA1
WP_011591981.1	FeFeA1
WP_011593109.1	FeFeA1
WP_022743406.1	FeFeA1
WP_022746312.1	FeFeA1
WP_022746500.1	FeFeA1
WP_015392538.1	FeFeA1
WP_015393615.1	FeFeA1
WP_016206989.1	FeFeA1
WP_010296878.1	FeFeA1
WP_003493693.1	FeFeA1
WP_017752954.1	FeFeA1
WP_020488527.1	FeFeA1
WP_015943803.1	FeFeA1
WP_008412697.1	FeFeA1
WP_013822105.1	FeFeA1
WP_013823947.1	FeFeA1
WP_005351469.1	FeFeA1
WP_007285570.1	FeFeA1
WP_007716914.1	FeFeA1
WP_002568840.1	FeFeA1
WP_007866252.1	FeFeA1
WP_027643016.1	FeFeA1
WP_006780212.1	FeFeA1
WP_006442921.1	FeFeA1
WP_029504843.1	FeFeA1
WP_004607406.1	FeFeA1
WP_021432477.1	FeFeA1
WP_021433568.1	FeFeA1
WP_006571360.1	FeFeA1
WP_014256388.1	FeFeA1
WP_003514900.1	FeFeA1
WP_011641315.1	FeFeA1
WP_011641809.1	FeFeA1
WP_013174329.1	FeFeA1
WP_013175699.1	FeFeA1
WP_018592904.1	FeFeA1
WP_006627482.1	FeFeA1
WP_002607524.1	FeFeA1
WP_028077982.1	FeFeA1
WP_027938424.1	FeFeA1
WP_006789933.1	FeFeA1
WP_018703705.1	FeFeA1
WP_027396346.1	FeFeA1
WP_014015846.1	FeFeA1
WP_014016432.1	FeFeA1
WP_006942403.1	FeFeA1
WP_007951362.1	FeFeA1
WP_009145476.1	FeFeA1
WP_014423937.1	FeFeA1
WP_005375825.1	FeFeA1
WP_005378576.1	FeFeA1
WP_005382858.1	FeFeA1
WP_005384713.1	FeFeA1
WP_005384882.1	FeFeA1
WP_005385706.1	FeFeA1
WP_028255372.1	FeFeA1
WP_028256896.1	FeFeA1
WP_004697562.1	FeFeA1
WP_006556240.1	FeFeA1
WP_026329186.1	FeFeA1
WP_015739747.1	FeFeA1
WP_013756852.1	FeFeA1
WP_023050374.1	FeFeA1
WP_023051580.1	FeFeA1
WP_010680041.1	FeFeA1
WP_005884626.1	FeFeA1
WP_005886368.1	FeFeA1
WP_005957191.1	FeFeA1
WP_005958327.1	FeFeA1
WP_027128738.1	FeFeA1
WP_027129041.1	FeFeA1
WP_005976079.1	FeFeA1
WP_005981915.1	FeFeA1
WP_005952086.1	FeFeA1
WP_013387092.1	FeFeA1
WP_013388849.1	FeFeA1
WP_028856877.1	FeFeA1
WP_013345564.1	FeFeA1
WP_028109440.1	FeFeA1
WP_028116362.1	FeFeA1
WP_023268563.1	FeFeA1
WP_028768142.1	FeFeA1
WP_012276514.1	FeFeA1
WP_025888294.1	FeFeA1
WP_025823167.1	FeFeA1
WP_011073665.1	FeFeA1
WP_028781324.1	FeFeA1
WP_011715875.1	FeFeA1
WP_011623989.1	FeFeA1
WP_029909256.1	FeFeA1
WP_028485709.1	FeFeA1
WP_024851245.1	FeFeA1
WP_029933546.1	FeFeA1
XP_002295160.1	FeFeA1
XP_001709915.1	FeFeA1
XP_001305709.1	FeFeA1
XP_001310180.1	FeFeA1
XP_001318941.1	FeFeA1
XP_001322682.1	FeFeA1
XP_001324510.1	FeFeA1
XP_001328981.1	FeFeA1
XP_001330775.1	FeFeA1
XP_001580286.1	FeFeA1
XP_001580488.1	FeFeA1
XP_001584012.1	FeFeA1
WP_028842274.1	FeFeA1
WP_012545114.1	FeFeA1
WP_022808283.1	FeFeA1
XP_002674266.1	FeFeA1
WP_022852507.1	FeFeA1
WP_022853375.1	FeFeA1
WP_013907122.1	FeFeA1
WP_013907125.1	FeFeA1
WP_013907974.1	FeFeA1
WP_028841196.1	FeFeA1
WP_022854721.1	FeFeA1
WP_011993425.1	FeFeA1
WP_014450900.1	FeFeA1
WP_014450901.1	FeFeA1
WP_012744686.1	FeFeA1
WP_006492050.1	FeFeA1
WP_014730285.1	FeFeA1
WP_012580432.1	FeFeA1
WP_012057804.1	FeFeA1
WP_028843928.1	FeFeA1
WP_012003383.1	FeFeA1
WP_024103747.1	FeFeA1
WP_012896175.1	FeFeA1
WP_015918980.1	FeFeA1
WP_011943326.1	FeFeA1
WP_008193913.1	FeFeA1
WP_012310723.1	FeFeA1
WP_013931422.1	FeFeA1
WP_022741745.1	FeFeA2
WP_028264340.1	FeFeA2
WP_021625383.1	FeFeA2
WP_006235348.1	FeFeA2
WP_022094311.1	FeFeA2
WP_022387742.1	FeFeA2
WP_022349260.1	FeFeA2
WP_013708694.1	FeFeA2
WP_022378933.1	FeFeA2
WP_021900643.1	FeFeA2
WP_022363186.1	FeFeA2
WP_022369673.1	FeFeA2
WP_013978878.1	FeFeA2
WP_013979953.1	FeFeA2
WP_028027642.1	FeFeA2
WP_021726228.1	FeFeA2
WP_009279121.1	FeFeA2
WP_013251691.1	FeFeA2
WP_006361310.1	FeFeA2
WP_012798774.1	FeFeA2
WP_009139152.1	FeFeA2
WP_009078316.1	FeFeA2
WP_026783301.1	FeFeA2
WP_026790595.1	FeFeA2
WP_013499973.1	FeFeA2
WP_008382437.1	FeFeA2
WP_021130842.1	FeFeA2
WP_002727095.1	FeFeA2
WP_022362192.1	FeFeA2
WP_008540631.1	FeFeA2
WP_022444415.1	FeFeA2
WP_022472717.1	FeFeA2
WP_016474662.1	FeFeA2
WP_028533896.1	FeFeA2
WP_018606045.1	FeFeA2
WP_027824154.1	FeFeA2
WP_015904515.1	FeFeA2
WP_027174791.1	FeFeA2
WP_010939059.1	FeFeA2
WP_011342272.1	FeFeA2
WP_006565663.1	FeFeA2
WP_009203940.1	FeFeA2
WP_016147589.1	FeFeA2
WP_015393386.1	FeFeA2
WP_005583237.1	FeFeA2
WP_005338995.1	FeFeA2
WP_028088444.1	FeFeA2
WP_013486154.1	FeFeA2
WP_012738474.1	FeFeA2
WP_005348317.1	FeFeA2
WP_004065781.1	FeFeA2
WP_021739983.1	FeFeA2
WP_008749893.1	FeFeA2
WP_015572916.1	FeFeA2
WP_004607263.1	FeFeA2
WP_015528722.1	FeFeA2
WP_009536327.1	FeFeA2
WP_007156182.1	FeFeA2
WP_014118796.1	FeFeA2
WP_024622238.1	FeFeA2
WP_008902548.1	FeFeA2
WP_004821125.1	FeFeA2
WP_002846126.1	FeFeA2
WP_006598813.1	FeFeA2
WP_020074005.1	FeFeA2
WP_028529172.1	FeFeA2
WP_007047054.1	FeFeA2
WP_004611441.1	FeFeA2
WP_033162999.1	FeFeA2
WP_012939287.1	FeFeA2
WP_009146318.1	FeFeA2
WP_013738980.1	FeFeA2
WP_010690649.1	FeFeA2
WP_009165839.1	FeFeA2
WP_005033810.1	FeFeA3
WP_005034114.1	FeFeA3
WP_005038259.1	FeFeA3
WP_024286588.1	FeFeA3
WP_026781963.1	FeFeA3
WP_026791754.1	FeFeA3
WP_022000256.1	FeFeA3
WP_022418208.1	FeFeA3
WP_022196619.1	FeFeA3
WP_021133133.1	FeFeA3
WP_002730048.1	FeFeA3
WP_014413848.1	FeFeA3
WP_022847517.1	FeFeA3
WP_013637757.1	FeFeA3
WP_004329321.1	FeFeA3
WP_026475062.1	FeFeA3
WP_026475073.1	FeFeA3
WP_016777708.1	FeFeA3
WP_024986193.1	FeFeA3
WP_005680505.1	FeFeA3
WP_007216264.1	FeFeA3
WP_010537425.1	FeFeA3
WP_005941255.1	FeFeA3
WP_025867773.1	FeFeA3
WP_009132358.1	FeFeA3
WP_004319661.1	FeFeA3
WP_027326146.1	FeFeA3
WP_005931733.1	FeFeA3
WP_005836595.1	FeFeA3
WP_008021616.1	FeFeA3
WP_018336996.1	FeFeA3
WP_027199847.1	FeFeA3
WP_010663850.1	FeFeA3
WP_010665320.1	FeFeA3
WP_013610540.1	FeFeA3
WP_007656765.1	FeFeA3
WP_028729360.1	FeFeA3
WP_008157755.1	FeFeA3
WP_005643305.1	FeFeA3
WP_025863481.1	FeFeA3
WP_025863484.1	FeFeA3
WP_026327676.1	FeFeA3
WP_027472107.1	FeFeA3
WP_006928134.1	FeFeA3
WP_010935952.1	FeFeA3
WP_022849147.1	FeFeA3
WP_015424900.1	FeFeA3
WP_028318925.1	FeFeA3
WP_028318930.1	FeFeA3
WP_015724294.1	FeFeA3
WP_015724590.1	FeFeA3
WP_029725248.1	FeFeA3
WP_029460330.1	FeFeA3
WP_029460554.1	FeFeA3
WP_005990603.1	FeFeA3
WP_005991663.1	FeFeA3
WP_024823936.1	FeFeA3
WP_015720177.1	FeFeA3
WP_011341336.1	FeFeA3
WP_011341365.1	FeFeA3
WP_011735399.1	FeFeA3
WP_011697714.1	FeFeA3
WP_028893663.1	FeFeA3
WP_028893679.1	FeFeA3
WP_011417004.1	FeFeA3
WP_012548684.1	FeFeA3
WP_012582935.1	FeFeA3
WP_012414703.1	FeFeA3
WP_022636475.1	FeFeA3
WP_016314690.1	FeFeA3
WP_010250212.1	FeFeA3
WP_010250812.1	FeFeA3
WP_010251944.1	FeFeA3
WP_026393504.1	FeFeA3
WP_014357048.1	FeFeA3
WP_011971774.1	FeFeA3
WP_012065136.1	FeFeA3
WP_012158789.1	FeFeA3
WP_012158849.1	FeFeA3
WP_026475720.1	FeFeA3
WP_004816070.1	FeFeA3
WP_015778015.1	FeFeA3
WP_004835820.1	FeFeA3
WP_007049858.1	FeFeA3
WP_007050317.1	FeFeA3
WP_006567084.1	FeFeA3
WP_006876820.1	FeFeA3
WP_027398114.1	FeFeA3
WP_027399804.1	FeFeA3
WP_027400569.1	FeFeA3
WP_003020884.1	FeFeA3
WP_008907580.1	FeFeA3
WP_008909765.1	FeFeA3
WP_013656601.1	FeFeA3
WP_013657394.1	FeFeA3
WP_026895551.1	FeFeA3
WP_026895808.1	FeFeA3
WP_023162310.1	FeFeA3
WP_023163243.1	FeFeA3
WP_026888482.1	FeFeA3
WP_002580338.1	FeFeA3
WP_027637394.1	FeFeA3
WP_007060145.1	FeFeA3
WP_007062593.1	FeFeA3
WP_015925666.1	FeFeA3
WP_015925732.1	FeFeA3
WP_015925885.1	FeFeA3
WP_010076791.1	FeFeA3
WP_021803813.1	FeFeA3
WP_013238135.1	FeFeA3
WP_027625220.1	FeFeA3
WP_011721785.1	FeFeA3
WP_023973103.1	FeFeA3
WP_015394438.1	FeFeA3
WP_016206177.1	FeFeA3
WP_010296962.1	FeFeA3
WP_017416132.1	FeFeA3
WP_017416926.1	FeFeA3
WP_015513462.1	FeFeA3
WP_008371804.1	FeFeA3
WP_019225264.1	FeFeA3
WP_019225315.1	FeFeA3
WP_019225928.1	FeFeA3
WP_020490880.1	FeFeA3
WP_020491838.1	FeFeA3
WP_026156354.1	FeFeA3
WP_028307965.1	FeFeA3
WP_028308064.1	FeFeA3
WP_028308066.1	FeFeA3
WP_014792559.1	FeFeA3
WP_014795695.1	FeFeA3
WP_015945352.1	FeFeA3
WP_012301314.1	FeFeA3
WP_012301316.1	FeFeA3
WP_012302431.1	FeFeA3
WP_012302631.1	FeFeA3
WP_014901644.1	FeFeA3
WP_014902186.1	FeFeA3
WP_014905079.1	FeFeA3
WP_014184036.1	FeFeA3
WP_014187152.1	FeFeA3
WP_014187542.1	FeFeA3
WP_009617408.1	FeFeA3
WP_009620217.1	FeFeA3
WP_007779133.1	FeFeA3
WP_007783548.1	FeFeA3
WP_015759215.1	FeFeA3
WP_027364046.1	FeFeA3
WP_027364049.1	FeFeA3
WP_013809932.1	FeFeA3
WP_013810075.1	FeFeA3
WP_013810492.1	FeFeA3
WP_006521126.1	FeFeA3
WP_006522262.1	FeFeA3
WP_006524080.1	FeFeA3
WP_008410059.1	FeFeA3
WP_008410064.1	FeFeA3
WP_008410175.1	FeFeA3
WP_008410459.1	FeFeA3
WP_008411510.1	FeFeA3
WP_013823357.1	FeFeA3
WP_013824004.1	FeFeA3
WP_003540305.1	FeFeA3
WP_003541670.1	FeFeA3
WP_003543871.1	FeFeA3
WP_011876846.1	FeFeA3
WP_011877994.1	FeFeA3
WP_011877997.1	FeFeA3
WP_011879575.1	FeFeA3
WP_013840577.1	FeFeA3
WP_013842391.1	FeFeA3
WP_013842395.1	FeFeA3
WP_013842583.1	FeFeA3
WP_013843380.1	FeFeA3
WP_027356557.1	FeFeA3
WP_027356646.1	FeFeA3
WP_027357333.1	FeFeA3
WP_018084282.1	FeFeA3
WP_018085930.1	FeFeA3
WP_018086225.1	FeFeA3
WP_005333143.1	FeFeA3
WP_028086317.1	FeFeA3
WP_013486450.1	FeFeA3
WP_013379183.1	FeFeA3
WP_021739954.1	FeFeA3
WP_012282074.1	FeFeA3
WP_007286821.1	FeFeA3
WP_005541293.1	FeFeA3
WP_026892188.1	FeFeA3
WP_007715797.1	FeFeA3
WP_002568591.1	FeFeA3
WP_002570913.1	FeFeA3
WP_007862869.1	FeFeA3
WP_007862872.1	FeFeA3
WP_027642167.1	FeFeA3
WP_004844038.1	FeFeA3
WP_006778965.1	FeFeA3
WP_006442445.1	FeFeA3
WP_006444067.1	FeFeA3
WP_029502586.1	FeFeA3
WP_029502830.1	FeFeA3
WP_013273987.1	FeFeA3
WP_004608286.1	FeFeA3
WP_003507872.1	FeFeA3
WP_015528256.1	FeFeA3
WP_006861102.1	FeFeA3
WP_014117537.1	FeFeA3
WP_012032547.1	FeFeA3
WP_012033166.1	FeFeA3
WP_021434166.1	FeFeA3
WP_032508101.1	FeFeA3
WP_005367839.1	FeFeA3
WP_028828670.1	FeFeA3
WP_028828847.1	FeFeA3
WP_006573275.1	FeFeA3
WP_027627105.1	FeFeA3
WP_027627473.1	FeFeA3
WP_014254579.1	FeFeA3
WP_003534157.1	FeFeA3
WP_006352890.1	FeFeA3
WP_020814848.1	FeFeA3
WP_020815562.1	FeFeA3
WP_020815721.1	FeFeA3
WP_015518595.1	FeFeA3
WP_015358633.1	FeFeA3
WP_004629507.1	FeFeA3
WP_004630049.1	FeFeA3
WP_003512584.1	FeFeA3
WP_003519061.1	FeFeA3
WP_027096606.1	FeFeA3
WP_002853139.1	FeFeA3
WP_028515986.1	FeFeA3
WP_023920491.1	FeFeA3
WP_013625341.1	FeFeA3
WP_013625342.1	FeFeA3
WP_013626003.1	FeFeA3
WP_011640436.1	FeFeA3
WP_013174729.1	FeFeA3
WP_018592006.1	FeFeA3
WP_013120942.1	FeFeA3
WP_018660435.1	FeFeA3
WP_018662721.1	FeFeA3
WP_004614049.1	FeFeA3
WP_023388223.1	FeFeA3
WP_023388270.1	FeFeA3
WP_027088814.1	FeFeA3
WP_004610503.1	FeFeA3
WP_006059213.1	FeFeA3
WP_028043706.1	FeFeA3
WP_013277223.1	FeFeA3
WP_013277266.1	FeFeA3
WP_013278831.1	FeFeA3
WP_013406264.1	FeFeA3
WP_013406351.1	FeFeA3
WP_014553773.1	FeFeA3
WP_005487095.1	FeFeA3
WP_005487325.1	FeFeA3
WP_015326098.1	FeFeA3
WP_015327873.1	FeFeA3
WP_027338924.1	FeFeA3
WP_027338952.1	FeFeA3
WP_012635141.1	FeFeA3
WP_012635578.1	FeFeA3
WP_018249206.1	FeFeA3
WP_010753129.1	FeFeA3
WP_016182069.1	FeFeA3
WP_010780462.1	FeFeA3
WP_010740236.1	FeFeA3
WP_010746116.1	FeFeA3
WP_031366038.1	FeFeA3
WP_003138680.1	FeFeA3
WP_008538939.1	FeFeA3
WP_005841395.1	FeFeA3
WP_007952324.1	FeFeA3
WP_007953234.1	FeFeA3
WP_009145651.1	FeFeA3
WP_014425762.1	FeFeA3
WP_006191642.1	FeFeA3
WP_021167212.1	FeFeA3
WP_021169841.1	FeFeA3
WP_019879374.1	FeFeA3
WP_007288799.1	FeFeA3
WP_019552746.1	FeFeA3
WP_019554879.1	FeFeA3
WP_015738331.1	FeFeA3
WP_015739748.1	FeFeA3
WP_009609852.1	FeFeA3
WP_026485852.1	FeFeA3
WP_015907776.1	FeFeA3
WP_013403316.1	FeFeA3
WP_013430372.1	FeFeA3
WP_013290549.1	FeFeA3
WP_013412032.1	FeFeA3
WP_018962529.1	FeFeA3
WP_012543947.1	FeFeA3
WP_027717485.1	FeFeA3
WP_027718652.1	FeFeA3
WP_013780878.1	FeFeA3
WP_013781004.1	FeFeA3
WP_011393219.1	FeFeA3
WP_013778939.1	FeFeA3
WP_013779523.1	FeFeA3
WP_003870979.1	FeFeA3
WP_012994913.1	FeFeA3
WP_006570153.1	FeFeA3
WP_004401666.1	FeFeA3
WP_014062655.1	FeFeA3
WP_014758969.1	FeFeA3
WP_013297608.1	FeFeA3
WP_013787823.1	FeFeA3
WP_013756843.1	FeFeA3
WP_013275360.1	FeFeA3
WP_013275513.1	FeFeA3
WP_023051856.1	FeFeA3
WP_023052447.1	FeFeA3
WP_010680344.1	FeFeA3
WP_005952705.1	FeFeA3
WP_005980462.1	FeFeA3
WP_005950651.1	FeFeA3
WP_013387085.1	FeFeA3
WP_013387146.1	FeFeA3
WP_013387669.1	FeFeA3
WP_021767225.1	FeFeA3
WP_028856758.1	FeFeA3
WP_028856899.1	FeFeA3
WP_012860094.1	FeFeA3
WP_012863017.1	FeFeA3
WP_015878590.1	FeFeA3
WP_024870534.1	FeFeA3
WP_007039337.1	FeFeA3
WP_014559401.1	FeFeA3
WP_014857142.1	FeFeA3
WP_028842275.1	FeFeA3
WP_012546840.1	FeFeA3
WP_028330509.1	FeFeA3
WP_008728072.1	FeFeA3
WP_012671982.1	FeFeA3
WP_020003846.1	FeFeA3
WP_014487195.1	FeFeA3
WP_013114605.1	FeFeA3
WP_013607267.1	FeFeA3
WP_013607980.1	FeFeA3
WP_014271080.1	FeFeA3
WP_014455790.1	FeFeA3
WP_014456422.1	FeFeA3
WP_018525843.1	FeFeA3
WP_020611046.1	FeFeA3
WP_020611343.1	FeFeA3
WP_020614051.1	FeFeA3
WP_028972813.1	FeFeA3
WP_013252975.1	FeFeA3
WP_013253085.1	FeFeA3
WP_013256232.1	FeFeA3
WP_013313426.1	FeFeA3
WP_013314154.1	FeFeA3
WP_015712312.1	FeFeA3
WP_013757500.1	FeFeA3
WP_013970147.1	FeFeA3
WP_029410172.1	FeFeA3
WP_015706988.1	FeFeA3
WP_014803888.1	FeFeA3
WP_026368965.1	FeFeA3
WP_006299828.1	FeFeA3
WP_015556986.1	FeFeA3
WP_008521264.1	FeFeA3
WP_008708834.1	FeFeA3
WP_008711190.1	FeFeA3
WP_012868906.1	FeFeA3
WP_006584326.1	FeFeA3
WP_008824689.1	FeFeA3
AIO18212.1	FeFeA3
AIO18671.1	FeFeA3
AIO19694.1	FeFeA3
AIO19709.1	FeFeA3
KFZ25760.1	FeFeA3
KFZ26040.1	FeFeA3
KFZ27631.1	FeFeA3
WP_022854720.1	FeFeA3
WP_011993415.1	FeFeA3
WP_014451418.1	FeFeA3
WP_014296497.1	FeFeA3
WP_012208968.1	FeFeA3
WP_012579795.1	FeFeA3
WP_012056718.1	FeFeA3
WP_028843229.1	FeFeA3
WP_012002999.1	FeFeA3
WP_004081677.1	FeFeA3
WP_015919559.1	FeFeA3
WP_012311063.1	FeFeA3
WP_013931427.1	FeFeA3
WP_012374366.1	FeFeA3
WP_011388063.1	FeFeA4
WP_012662530.1	FeFeA4
WP_011187724.1	FeFeA4
WP_011366599.1	FeFeA4
WP_015337360.1	FeFeA4
WP_027186285.1	FeFeA4
WP_024825939.1	FeFeA4
WP_012765956.1	FeFeA4
WP_027721164.1	FeFeA4
WP_025700928.1	FeFeA4
WP_018884458.1	FeFeA4
WP_028591227.1	FeFeA4
WP_010345843.1	FeFeA4
WP_016822145.1	FeFeA4
WP_014282026.1	FeFeA4
WP_025688954.1	FeFeA4
WP_014355220.1	FeFeA4
WP_023162857.1	FeFeA4
WP_026885750.1	FeFeA4
WP_007063270.1	FeFeA4
WP_011989407.1	FeFeA4
WP_013237377.1	FeFeA4
WP_013238388.1	FeFeA4
WP_023975234.1	FeFeA4
WP_010295100.1	FeFeA4
WP_007285433.1	FeFeA4
WP_012031839.1	FeFeA4
WP_021432325.1	FeFeA4
WP_018591881.1	FeFeA4
WP_007960496.1	FeFeA4
WP_011393383.1	FeFeA4
WP_013275594.1	FeFeA4
WP_015707165.1	FeFeA4
WP_026939128.1	FeFeB
WP_028263961.1	FeFeB
WP_012808500.1	FeFeB
WP_003148188.1	FeFeB
WP_021626398.1	FeFeB
WP_009141594.1	FeFeB
WP_013708979.1	FeFeB
WP_021724994.1	FeFeB
WP_009277946.1	FeFeB
WP_013252233.1	FeFeB
WP_022078722.1	FeFeB
WP_022418160.1	FeFeB
WP_022195425.1	FeFeB
WP_022187469.1	FeFeB
XP_008856018.1	FeFeB
WP_004330064.1	FeFeB
WP_024988140.1	FeFeB
WP_005679640.1	FeFeB
WP_007209903.1	FeFeB
WP_007569731.1	FeFeB
WP_022278255.1	FeFeB
WP_025075971.1	FeFeB
WP_007748547.1	FeFeB
WP_009126776.1	FeFeB
WP_014299406.1	FeFeB
WP_013547705.1	FeFeB
WP_007665069.1	FeFeB
WP_005941153.1	FeFeB
WP_025868115.1	FeFeB
WP_009132353.1	FeFeB
WP_004307174.1	FeFeB
WP_007560478.1	FeFeB
WP_021644837.1	FeFeB
WP_005929426.1	FeFeB
WP_016266912.1	FeFeB
WP_005836589.1	FeFeB
WP_011964716.1	FeFeB
WP_008025884.1	FeFeB
WP_018338302.1	FeFeB
WP_027202830.1	FeFeB
WP_010665374.1	FeFeB
WP_013613424.1	FeFeB
WP_028726954.1	FeFeB
WP_008152383.1	FeFeB
WP_013760215.1	FeFeB
WP_018357720.1	FeFeB
WP_025864379.1	FeFeB
WP_006929576.1	FeFeB
WP_011189620.1	FeFeB
WP_009380768.1	FeFeB
WP_011366806.1	FeFeB
WP_006009278.1	FeFeB
WP_012414920.1	FeFeB
WP_010249420.1	FeFeB
WP_004817153.1	FeFeB
WP_015778292.1	FeFeB
WP_004836902.1	FeFeB
WP_007049654.1	FeFeB
WP_006568603.1	FeFeB
WP_009202817.1	FeFeB
WP_006874781.1	FeFeB
WP_006874974.1	FeFeB
WP_016146243.1	FeFeB
WP_016147607.1	FeFeB
WP_005600915.1	FeFeB
WP_027207458.1	FeFeB
WP_013657049.1	FeFeB
WP_026894367.1	FeFeB
WP_026894721.1	FeFeB
WP_010966505.1	FeFeB
WP_026881775.1	FeFeB
WP_029451048.1	FeFeB
WP_029452114.1	FeFeB
WP_010235263.1	FeFeB
WP_026886567.1	FeFeB
WP_026887424.1	FeFeB
WP_024932223.1	FeFeB
WP_024933083.1	FeFeB
WP_002580023.1	FeFeB
WP_002582769.1	FeFeB
WP_027637669.1	FeFeB
WP_027639106.1	FeFeB
WP_007059875.1	FeFeB
WP_007061531.1	FeFeB
WP_007064371.1	FeFeB
WP_005210787.1	FeFeB
WP_005210847.1	FeFeB
WP_010073823.1	FeFeB
WP_021874508.1	FeFeB
WP_027633478.1	FeFeB
WP_027634587.1	FeFeB
WP_021800342.1	FeFeB
WP_021803667.1	FeFeB
WP_011988737.1	FeFeB
WP_013240326.1	FeFeB
WP_027625395.1	FeFeB
WP_027626678.1	FeFeB
WP_011721124.1	FeFeB
WP_011722917.1	FeFeB
WP_027098445.1	FeFeB
WP_027098927.1	FeFeB
WP_023975043.1	FeFeB
WP_023976023.1	FeFeB
WP_011591170.1	FeFeB
WP_011593255.1	FeFeB
WP_022743703.1	FeFeB
WP_022746733.1	FeFeB
WP_015390585.1	FeFeB
WP_015393395.1	FeFeB
WP_016205726.1	FeFeB
WP_016206137.1	FeFeB
WP_010293869.1	FeFeB
WP_010297806.1	FeFeB
WP_003492333.1	FeFeB
WP_003495774.1	FeFeB
WP_023436998.1	FeFeB
WP_017414827.1	FeFeB
WP_017751925.1	FeFeB
WP_017753183.1	FeFeB
WP_025640716.1	FeFeB
WP_015515272.1	FeFeB
WP_008369976.1	FeFeB
WP_014792620.1	FeFeB
WP_014792843.1	FeFeB
WP_015261135.1	FeFeB
WP_015943050.1	FeFeB
WP_015943139.1	FeFeB
WP_012301552.1	FeFeB
WP_014904712.1	FeFeB
WP_009624657.1	FeFeB
WP_007781007.1	FeFeB
WP_015757276.1	FeFeB
WP_027365621.1	FeFeB
WP_013809931.1	FeFeB
WP_013810136.1	FeFeB
WP_006520976.1	FeFeB
WP_008409855.1	FeFeB
WP_008410184.1	FeFeB
WP_003540297.1	FeFeB
WP_011877789.1	FeFeB
WP_011878132.1	FeFeB
WP_013842190.1	FeFeB
WP_013842589.1	FeFeB
WP_018086727.1	FeFeB
WP_028085756.1	FeFeB
WP_013484003.1	FeFeB
WP_013486531.1	FeFeB
WP_004602330.1	FeFeB
WP_012739633.1	FeFeB
WP_013380841.1	FeFeB
WP_004052440.1	FeFeB
WP_004054251.1	FeFeB
WP_012742086.1	FeFeB
WP_005944276.1	FeFeB
WP_014261748.1	FeFeB
WP_012282699.1	FeFeB
WP_012283632.1	FeFeB
WP_008753040.1	FeFeB
WP_026891848.1	FeFeB
WP_026892187.1	FeFeB
WP_002568888.1	FeFeB
WP_002570587.1	FeFeB
